Item,Start Date ,Start Time,End Date,End Time,Component,Description,"Duration of Downtime
(hours - hh:mm)",,,,
,27-Feb,8:06,27-Feb,9:59,MC3,Fast Stop DC overcurrent triggered,1:53:00,,,,
,28-Feb,8:20,28-Feb,8:57,MC3,Fast Stop DC overcurrent triggered,0:37:00,,,,
,28-Feb,9:05,28-Feb,9:45,MC3,Fast Stop DC overcurrent triggered,0:40:00,,,,
,28-Feb,13:22,28-Feb,13:25,MC3,Fast Stop DC overcurrent triggered,0:03:00,,,,
,28-Feb,13:33,28-Feb,13:34,MC3,Fast Stop DC overcurrent triggered,0:01:00,,,,
,28-Feb,13:53,28-Feb,13:57,MC3,Fast Stop DC overcurrent triggered,0:04:00,,,,
,29-Feb,13:36,29-Feb,13:37,MC3,Fast Stop DC overcurrent triggered,0:01:00,,,,
,29-Feb,14:06,29-Feb,14:50,MC3,Fast Stop DC overcurrent triggered,0:44:00,,,,
,5-Mar,7:58,5-Mar,8:20,MA2,Insulation failure,0:22:00,,,,
,5-Mar,8:42,5-Mar,8:58,MA6,Insulation failure,0:16:00,,,,
,5-Mar,9:05,5-Mar,9:21,MA6,Insulation failure,0:16:00,,,,
,5-Mar,14:55,5-Mar,14:57,MD2,Insulation failure,0:02:00,,,,
,7-Mar,17:09,7-Mar,17:37,MB2,Insulation failure,0:28:00,,,,
,7-Mar,17:16,7-Mar,17:45,MC1,Insulation failure,0:29:00,,,,
,7-Mar,18:23,7-Mar,18:27,MA1,Insulation failure,0:04:00,,,,
,7-Mar,18:32,7-Mar,19:00,MA5,Insulation failure,0:28:00,,,,
,8-Mar,8:45,8-Mar,8:52,MA5,Insulation failure,0:07:00,,,,
,8-Mar,16:49,8-Mar,17:17,MA5,Insulation failure,0:28:00,,,,
,9-Mar,7:37,9-Mar,7:44,MA2,Insulation failure,0:07:00,,,,
,9-Mar,8:27,9-Mar,8:46,MB4,Insulation failure,0:19:00,,,,
,12-Mar,10:56,12-Mar,10:57,MB6,Fast stop external triggered,0:01:00,,,,
,12-Mar,11:17,12-Mar,11:20,MB6,Fast stop external triggered,0:03:00,,,,
,14-Mar,13:54,14-Mar,14:35,MD4,SMA switch off inverter to replace faulty communication module,0:41:00,,,,
,16-Mar,8:36,16-Mar,8:46,MC4,Insulation failure,0:10:00,,,,
,20-Mar,8:14,20-Mar,8:42,MC4,Insulation failure,0:28:00,,,,
,21-Mar,8:23,21-Mar,9:58,MC3,Fast stop DC overcurrent triggered and number of critical DC switch cycles has reached,1:35:00,,,,
,21-Mar,10:18,21-Mar,10:25,MC3,Fast stop DC overcurrent triggered,0:07:00,,,,
,21-Mar,12:56,21-Mar,12:58,MB6,Fast stop external triggered,0:02:00,,,,
,24-Mar,7:29,24-Mar,7:38,MC4,Insulation failure,0:09:00,,,,
,24-Mar,11:32,24-Mar,11:38,MD3,Fast stop external triggered,0:06:00,,,,
,25-Mar,8:39,25-Mar,9:02,MC4,Insulation failure,0:23:00,,,,
,26-Mar,13:26,26-Mar,13:30,MA5,Insulation failure,0:04:00,,,,
,28-Mar,7:17,28-Mar,7:44,MC3,Insulation failure,0:27:00,,,,
,28-Mar,8:07,28-Mar,8:13,MC4,Insulation failure,0:06:00,,,,
,28-Mar,9:15,28-Mar,9:43,MC4,Insulation failure,0:28:00,,,,
,28-Mar,12:06,28-Mar,12:07,MB6,Fast stop external triggered,0:01:00,,,,
,29-Mar,7:16,29-Mar,7:29,MB3,Insulation failure,0:13:00,,,,
,30-Mar,11:59,30-Mar,12:01,MB6,Fast stop external triggered,0:02:00,,,,
,31-Mar,8:10,31-Mar,8:31,MC1,Insulation failure,0:21:00,,,,
